,Fissile,Case,Code,Library,Flux-to-dose conversion factor,Screen,Thickness (cm),Particle,Distance (m),Dose (Gy)_before,Dose (Gy)_after,1s uncertainty_before,1s uncertainty_after
104,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,1,8.806328507423439,8.484827760719364,0.0118,0.0104
105,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,2,2.9248695457003397,2.9239023281572756,0.014,0.0143
106,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,5,0.582579653952618,0.5618393471324032,0.0188,0.0164
107,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,10,0.14865690824567313,0.1499275894454634,0.0171,0.0193
108,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,20,0.0397184493276501,0.036889045472150085,0.0115,0.0122
109,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,50,0.006500852844152171,0.005885239996728811,0.0144,0.0139
110,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,100,0.001433915608720434,0.0013043457776488578,0.0174,0.018
111,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,200,0.000298562147392593,0.0002818713987204623,0.0127,0.0139
112,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,300,8.28818925101013e-05,8.031447937510236e-05,0.012,0.012
113,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,500,1.3469803588997561e-05,1.3093299449134944e-05,0.0107,0.0123
114,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,700,2.6733515744803003e-06,2.4172829694502265e-06,0.0081,0.0099
115,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,1000,3.06255969340748e-07,2.68869707228709e-07,0.0171,0.0081
116,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,1,N,1200,8.095948449314809e-08,7.448443293639445e-08,0.0207,0.0171
117,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,1,6.26197318839883,5.188832750593833,0.0097,0.0087
118,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,2,2.098988024546805,1.7585277474840122,0.0111,0.0157
119,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,5,0.39432422148886903,0.3454641631096413,0.0139,0.0163
120,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,10,0.1009980476160012,0.08524149824571454,0.0124,0.0153
121,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,20,0.0253038865289427,0.02071136239498047,0.0091,0.0141
122,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,50,0.00412044679198362,0.0031364072886722574,0.0121,0.0155
123,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,100,0.0008312824815168581,0.0006637153420012959,0.0154,0.0226
124,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,200,0.0001572810198544081,0.00012961546480186342,0.0129,0.0246
125,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,300,4.70337955469858e-05,3.330450555764193e-05,0.0133,0.0138
126,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,500,6.854813500504619e-06,5.485411992740729e-06,0.0138,0.0226
127,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,700,1.4820053579255188e-06,1.117057418265096e-06,0.0169,0.0189
128,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,1000,1.631071548088969e-07,1.4128151284571265e-07,0.0151,0.0295
129,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,5,N,1200,4.06031942193605e-08,4.590503396120211e-08,0.0087,0.0782
130,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,10,N,1,3.7704634066182297,2.621413525285834,0.0089,0.0083
131,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,10,N,2,1.2685668576075178,0.8800729077433143,0.0158,0.0161
132,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,10,N,5,0.23771230939085422,0.16844025004931465,0.0219,0.0212
133,U,C1 [U(4.95)O2F2 (H/235U = 410)],MCNP 6.1,ENDF/B-VII.1,ANSI/HPS N13.3,Water,10,N,10,0.056218496545273305,0.04022129164553108,0.0121,0.0265
