file,D_m,rfis_cm,wall_thk_cm,config,particle,material,tally_14_value,tally_14_error,tally_24_value,tally_24_error,tally_34_value,tally_34_error,error,dose_14_calc,dose_14_calc_error,dose_24_calc,dose_24_calc_error,dose_34_calc,dose_34_calc_error,diff_14_pct,diff_24_pct,diff_34_pct
SR-U-UN-G1-C1-N_concrete_20cm_D1m.i,1.0,25.5476,20.0,C1,N,concrete,9.2306e-06,0.0148,9.76637e-05,0.0171,8.37419e-05,0.0142,,9.23264961003675e-06,0.012073795140353292,9.766278978605219e-05,0.015508096652766873,8.374277129282964e-05,0.012984913873460851,0.02220451581425418,-0.000931987983054198,0.0010404502759468071
SR-U-UN-G1-C1-N_concrete_20cm_D2m.i,2.0,25.5476,20.0,C1,N,concrete,3.35311e-06,0.0435,3.40651e-05,0.0355,2.86636e-05,0.031,,3.353856545728114e-06,0.04244198771731759,3.405820510450051e-05,0.033771353140295245,2.865736288802148e-05,0.030176072748405728,0.022264277882747575,-0.02024035009289072,-0.021759695148280817
SR-U-UN-G1-C1-N_concrete_20cm_D5m.i,5.0,25.5476,20.0,C1,N,concrete,5.63154e-07,0.0472,5.79573e-06,0.0435,4.96659e-06,0.0441,,5.635573640674907e-07,0.044014643818755,5.797579338279354e-06,0.04262611902386783,4.968238788888634e-06,0.04382595265305229,0.0716258905185241,0.03190863410398006,0.03319760416369719
SR-U-UN-G1-C1-N_concrete_20cm_D10m.i,10.0,25.5476,20.0,C1,N,concrete,1.38985e-07,0.0399,1.45534e-06,0.0394,1.23226e-06,0.0402,,1.3905384602269174e-07,0.03964962981216773,1.4558475725964883e-06,0.03923634599234795,1.2325621922801213e-06,0.040000373852200476,0.049534858216170104,0.03487656468511914,0.024523418768875573
SR-U-UN-G1-C1-N_concrete_20cm_D20m.i,20.0,25.5476,20.0,C1,N,concrete,3.34987e-08,0.0309,3.30683e-07,0.0267,2.75274e-07,0.0268,,3.3502687819871296e-08,0.02676427798310969,3.30534924415945e-07,0.025743228891024986,2.751947190957248e-07,0.026551478378942815,0.011904401876185156,-0.04477871074564312,-0.02880072374259434
SR-U-UN-G1-C1-N_concrete_20cm_D50m.i,50.0,25.5476,20.0,C1,N,concrete,4.83178e-09,0.0349,4.91395e-08,0.0348,3.97155e-08,0.0407,,4.832874850455372e-09,0.034442238696375575,4.915590716365891e-08,0.03461784267826713,3.9717346725011084e-08,0.04055315036616882,0.0226593606367004,0.033388951167405874,0.004649884833581487
SR-U-UN-G1-C1-N_concrete_20cm_D100m.i,100.0,25.5476,20.0,C1,N,concrete,1.02438e-09,0.0285,1.05254e-08,0.0287,8.60406e-09,0.0341,,1.0244329751975056e-09,0.028107048513278818,1.0526354644261649e-08,0.02861211332085589,8.60356539189585e-09,0.03402255203201378,0.0051714400423317295,0.009069909567794599,-0.005748543177875912
SR-U-UN-G1-C1-N_concrete_20cm_D200m.i,200.0,25.5476,20.0,C1,N,concrete,1.72713e-10,0.0236,1.8615e-09,0.0221,1.48496e-09,0.0274,,1.727329008000614e-10,0.023375853275786042,1.8613864361064271e-09,0.02197707067091648,1.4849298296171544e-09,0.027307718483020722,0.011522467944742562,-0.006100665784201062,-0.0020317303392440164
SR-U-UN-G1-C1-N_concrete_20cm_D300m.i,300.0,25.5476,20.0,C1,N,concrete,5.01079e-11,0.0234,5.54787e-10,0.0227,4.36533e-10,0.0272,,5.0108125136885394e-11,0.023206331593850684,5.54782272696482e-10,0.022470476454402172,4.3653031159452937e-10,0.026997431933973443,0.0004493041723884504,-0.0008520934192664951,-0.0006158538920655278
SR-U-UN-G1-C1-N_concrete_20cm_D500m.i,500.0,25.5476,20.0,C1,N,concrete,7.2266e-12,0.0262,8.1293e-11,0.0255,6.32095e-11,0.0318,,7.227186102460773e-12,0.025953962923782062,8.130394697923555e-11,0.02527659273827668,6.320576374780743e-11,0.03151963230721086,0.008110348722405207,0.01346607854987414,-0.005910902937957471
