file,config,particle,D_m,Lw_cm,Epw_cm,material,H,config_dir,tally_14_value,tally_14_error,tally_1014_total_value,tally_1014_total_error,dose_Dp10_calc,dose_Dp10_calc_error,dose_Hstar10_calc,dose_Hstar10_calc_error,dose_E_calc,dose_E_calc_error,diff_Dp10_pct
SR_Pu_UN_G1_C2_P_D700.0m_Lw_35000.0cm_Epw20.0cm_w_water.o,C2,P,700.0,35000.0,20.0,water,10,C2_H_10,2.34938e-12,0.2062,8.16804e-13,0.0735,2.360938162735575e-12,0.208923661674143,2.324307505227907e-12,0.21183984821057947,1.9894029620941872e-12,0.21705680411023487,
SR_Pu_UN_G1_C2_P_D700.0m_Lw_35000.0cm_Epw1.0cm_w_water.o,C2,P,700.0,35000.0,1.0,water,10,C2_H_10,8.99502e-12,0.1476,2.45021e-12,0.0616,9.048809789458531e-12,0.149052765901796,8.918610070116687e-12,0.15076396277057588,7.64165204813562e-12,0.15416976217577794,
SR_Pu_UN_G1_C2_P_D5.0m_Lw_250.0cm_Epw5.0cm_w_water.o,C2,P,5.0,250.0,5.0,water,10,C2_H_10,1.25247e-06,0.0033,2.8726e-07,0.0078,1.2545848127227501e-06,0.0032959125958609797,1.2411290285230146e-06,0.003254647521184319,1.071880134549825e-06,0.003205975178820674,
SR_Pu_UN_G1_C2_P_D700.0m_Lw_35000.0cm_Epw10.0cm_w_water.o,C2,P,700.0,35000.0,10.0,water,10,C2_H_10,5.44908e-12,0.1879,1.4626e-12,0.0872,5.4676674995458e-12,0.18854361387632473,5.384471416716473e-12,0.19022446017911315,4.613550858782241e-12,0.1938425837802311,
SR_Pu_UN_G1_C2_P_D500.0m_Lw_25000.0cm_Epw40.0cm_w_water.o,C2,P,500.0,25000.0,40.0,water,10,C2_H_10,3.41996e-12,0.1428,1.21176e-12,0.1011,3.439323867051949e-12,0.1420724441027998,3.3911246119771197e-12,0.14349643737774834,2.8854743598801796e-12,0.14628284890764537,
SR_Pu_UN_G1_C2_P_D500.0m_Lw_25000.0cm_Epw20.0cm_w_water.o,C2,P,500.0,25000.0,20.0,water,10,C2_H_10,1.40424e-11,0.1951,3.75086e-12,0.0736,1.4161214166111991e-11,0.19640158919803577,1.395773569266146e-11,0.19741271813011524,1.2000575494788195e-11,0.20023539702780246,
SR_Pu_UN_G1_C2_P_D500.0m_Lw_25000.0cm_Epw1.0cm_w_water.o,C2,P,500.0,25000.0,1.0,water,10,C2_H_10,4.25941e-11,0.2847,9.98484e-12,0.1061,4.252663321645667e-11,0.2818442333813028,4.188574723889812e-11,0.2837213943152113,3.602828050464934e-11,0.2882064661836271,
SR_Pu_UN_G1_C2_P_D300.0m_Lw_15000.0cm_Epw5.0cm_w_water.o,C2,P,300.0,15000.0,5.0,water,10,C2_H_10,1.66834e-10,0.1644,4.70418e-11,0.0572,1.6771450328493234e-10,0.16326795719536102,1.6486913199986914e-10,0.16401471987187777,1.4054907887453041e-10,0.16591927280543609,
SR_Pu_UN_G1_C2_P_D500.0m_Lw_25000.0cm_Epw10.0cm_w_water.o,C2,P,500.0,25000.0,10.0,water,10,C2_H_10,1.50399e-11,0.1179,5.41072e-12,0.056,1.5122884551280855e-11,0.1178125458195579,1.4868912472368434e-11,0.11956427796645781,1.2657859148980034e-11,0.12257624073045795,
SR_Pu_UN_G1_C2_P_D50.0m_Lw_2500.0cm_Epw40.0cm_w_water.o,C2,P,50.0,2500.0,40.0,water,10,C2_H_10,1.7201e-09,0.0261,4.71233e-10,0.024,1.729633796141992e-09,0.02587335116906588,1.7104851832390374e-09,0.025990688703905487,1.4722425483780085e-09,0.02614859060553839,
SR_Pu_UN_G1_C2_P_D50.0m_Lw_2500.0cm_Epw20.0cm_w_water.o,C2,P,50.0,2500.0,20.0,water,10,C2_H_10,5.83875e-09,0.0307,1.69338e-09,0.0236,5.878755873575984e-09,0.03055778650385844,5.8102334962977286e-09,0.0307911494407231,4.995285390202129e-09,0.03116737874844829,
SR_Pu_UN_G1_C2_P_D50.0m_Lw_2500.0cm_Epw1.0cm_w_water.o,C2,P,50.0,2500.0,1.0,water,10,C2_H_10,1.41875e-08,0.0409,3.45406e-09,0.0279,1.4223870029287649e-08,0.04083143150824807,1.406172871774313e-08,0.041106453307336144,1.2120665453794375e-08,0.04148172633690519,
SR_Pu_UN_G1_C2_P_D500.0m_Lw_25000.0cm_Epw5.0cm_w_water.o,C2,P,500.0,25000.0,5.0,water,10,C2_H_10,2.33806e-11,0.1937,7.02467e-12,0.0777,2.3476427530450947e-11,0.19263670370274774,2.309611138967711e-11,0.19499729683205932,1.9705916432077363e-11,0.20006143694308384,
SR_Pu_UN_G1_C2_P_D50.0m_Lw_2500.0cm_Epw10.0cm_w_water.o,C2,P,50.0,2500.0,10.0,water,10,C2_H_10,9.90561e-09,0.036,2.74599e-09,0.04,9.96319668213314e-09,0.03597743502383421,9.834572223320484e-09,0.03614111658704341,8.426980567703339e-09,0.03608935729023939,
SR_Pu_UN_G1_C2_P_D5.0m_Lw_250.0cm_Epw40.0cm_w_water.o,C2,P,5.0,250.0,40.0,water,10,C2_H_10,2.31325e-07,0.0083,5.95933e-08,0.0193,2.3278205616352185e-07,0.008315940201919675,2.304256985613495e-07,0.008331361175024527,1.9835662589268453e-07,0.00809738042111219,
SR_Pu_UN_G1_C2_P_D5.0m_Lw_250.0cm_Epw20.0cm_w_water.o,C2,P,5.0,250.0,20.0,water,10,C2_H_10,6.90573e-07,0.0054,1.84675e-07,0.0142,6.95026256760871e-07,0.005398966108177103,6.873083390439451e-07,0.005369274635962895,5.919513541967629e-07,0.005202970327913162,
SR_Pu_UN_G1_C2_P_D5.0m_Lw_250.0cm_Epw1.0cm_w_water.o,C2,P,5.0,250.0,1.0,water,10,C2_H_10,1.45153e-06,0.0037,2.9016e-07,0.0094,1.453327093132553e-06,0.003687641722208978,1.4405962383063821e-06,0.003647366390739945,1.2468368807672293e-06,0.0036042067586827555,
SR_Pu_UN_G1_C2_P_D50.0m_Lw_2500.0cm_Epw5.0cm_w_water.o,C2,P,50.0,2500.0,5.0,water,10,C2_H_10,1.18495e-08,0.0388,2.97868e-09,0.0239,1.1891475059431534e-08,0.03860432682347007,1.1742814027643792e-08,0.03882855204707348,1.0113182172077636e-08,0.039139447563960664,
SR_Pu_UN_G1_C2_P_D5.0m_Lw_250.0cm_Epw10.0cm_w_water.o,C2,P,5.0,250.0,10.0,water,10,C2_H_10,1.04567e-06,0.0044,2.66573e-07,0.0128,1.0496838072843453e-06,0.0044289238602753765,1.0377896134990559e-06,0.004401766647936006,8.940749562622249e-07,0.004236277389003855,
SR_Pu_UN_G1_C2_P_D300.0m_Lw_15000.0cm_Epw40.0cm_w_water.o,C2,P,300.0,15000.0,40.0,water,10,C2_H_10,1.85698e-11,0.1126,6.65415e-12,0.0855,1.8559275381821016e-11,0.11219243280031191,1.8242794062917326e-11,0.11337838542024624,1.550313228308936e-11,0.11534420360175057,
SR_Pu_UN_G1_C2_P_D300.0m_Lw_15000.0cm_Epw20.0cm_w_water.o,C2,P,300.0,15000.0,20.0,water,10,C2_H_10,6.6434e-11,0.1096,2.18717e-11,0.0594,6.668754608532042e-11,0.10909406628216738,6.560540042317909e-11,0.11004446190133792,5.6219554441636494e-11,0.112597327517466,
SR_Pu_UN_G1_C2_P_D300.0m_Lw_15000.0cm_Epw1.0cm_w_water.o,C2,P,300.0,15000.0,1.0,water,10,C2_H_10,2.66278e-10,0.1685,6.8969e-11,0.0683,2.663950337914534e-10,0.16838421535342565,2.6240643444038545e-10,0.1696594352716284,2.24436911678212e-10,0.17139957971007275,
SR_Pu_UN_G1_C2_P_D2.0m_Lw_100.0cm_Epw5.0cm_w_water.o,C2,P,2.0,100.0,5.0,water,10,C2_H_10,7.02329e-06,0.0028,1.56828e-06,0.007,7.035798396438058e-06,0.002793184932807728,6.9627689442890784e-06,0.0027472878383095482,6.018616123666191e-06,0.0027245203103221107,
SR_Pu_UN_G1_C2_P_D300.0m_Lw_15000.0cm_Epw10.0cm_w_water.o,C2,P,300.0,15000.0,10.0,water,10,C2_H_10,1.51201e-10,0.2256,4.41329e-11,0.0709,1.5195581991336821e-10,0.22495850811938922,1.494532332084932e-10,0.22591715734560253,1.271676426355844e-10,0.2277958198206918,
SR_Pu_UN_G1_C2_P_D200.0m_Lw_10000.0cm_Epw40.0cm_w_water.o,C2,P,200.0,10000.0,40.0,water,10,C2_H_10,6.6193e-11,0.1441,2.02247e-11,0.0576,6.665606301403687e-11,0.1439097997905379,6.570087503905956e-11,0.14457902255985414,5.634110411764867e-11,0.14684152816180446,
SR_Pu_UN_G1_C2_P_D200.0m_Lw_10000.0cm_Epw20.0cm_w_water.o,C2,P,200.0,10000.0,20.0,water,10,C2_H_10,2.1341e-10,0.111,6.89864e-11,0.0619,2.142800243762388e-10,0.10989316821951313,2.1147742427372946e-10,0.11079826803116101,1.8049779076716372e-10,0.11250669366009558,
SR_Pu_UN_G1_C2_P_D200.0m_Lw_10000.0cm_Epw1.0cm_w_water.o,C2,P,200.0,10000.0,1.0,water,10,C2_H_10,7.34216e-10,0.1237,2.03798e-10,0.0553,7.353910948800395e-10,0.12352096991171771,7.252097439819294e-10,0.12494363492896635,6.218560974269311e-10,0.12687929591151334,
SR_Pu_UN_G1_C2_P_D1200.0m_Lw_60000.0cm_Epw5.0cm_w_water.o,C2,P,1200.0,60000.0,5.0,water,10,C2_H_10,2.52946e-13,0.1747,7.42693e-14,0.0582,2.536442234893562e-13,0.17514544959609732,2.488960978504192e-13,0.1755224971296777,2.1125931628993374e-13,0.17459225279226237,
SR_Pu_UN_G1_C2_P_D200.0m_Lw_10000.0cm_Epw10.0cm_w_water.o,C2,P,200.0,10000.0,10.0,water,10,C2_H_10,3.47346e-10,0.1167,1.14065e-10,0.0459,3.4898823382846e-10,0.11630351547624944,3.4321909450277406e-10,0.1166068786008861,2.921795765369957e-10,0.11731190474402117,
SR_Pu_UN_G1_C2_P_D20.0m_Lw_1000.0cm_Epw40.0cm_w_water.o,C2,P,20.0,1000.0,40.0,water,10,C2_H_10,1.22079e-08,0.0099,3.13875e-09,0.0193,1.227847142556838e-08,0.009921509240694567,1.2149513452679368e-08,0.009957801977709365,1.0458658782103109e-08,0.009753650366310391,
SR_Pu_UN_G1_C2_P_D20.0m_Lw_1000.0cm_Epw20.0cm_w_water.o,C2,P,20.0,1000.0,20.0,water,10,C2_H_10,4.02064e-08,0.0072,1.0957e-08,0.0172,4.045053962192347e-08,0.007149060016523573,3.9991586159316096e-08,0.007142406404234083,3.4419991254650344e-08,0.006922430839178445,
SR_Pu_UN_G1_C2_P_D20.0m_Lw_1000.0cm_Epw1.0cm_w_water.o,C2,P,20.0,1000.0,1.0,water,10,C2_H_10,9.34999e-08,0.0052,1.93507e-08,0.0085,9.362924298363704e-08,0.005177281994043406,9.277256346707566e-08,0.005164857829194582,8.026780052027893e-08,0.0051763619487845795,
SR_Pu_UN_G1_C2_P_D1200.0m_Lw_60000.0cm_Epw40.0cm_w_water.o,C2,P,1200.0,60000.0,40.0,water,10,C2_H_10,4.01591e-14,0.2467,1.2363e-14,0.0805,4.069115448828648e-14,0.24740644105185466,3.991496128307484e-14,0.24750421795016214,3.367312682399991e-14,0.2463105106171215,
SR_Pu_UN_G1_C2_P_D20.0m_Lw_1000.0cm_Epw10.0cm_w_water.o,C2,P,20.0,1000.0,10.0,water,10,C2_H_10,6.44943e-08,0.0056,1.64373e-08,0.0111,6.477896803398383e-08,0.005589316469597799,6.403434610919345e-08,0.005567184121638406,5.52078805660287e-08,0.005529657036789753,
SR_Pu_UN_G1_C2_P_D2.0m_Lw_100.0cm_Epw40.0cm_w_water.o,C2,P,2.0,100.0,40.0,water,10,C2_H_10,1.42858e-06,0.0061,3.74263e-07,0.011,1.438397976505837e-06,0.005918119836860533,1.4235988196609191e-06,0.0059177260971631064,1.226360667452589e-06,0.005903223722293088,
