Modèle,R²,RMSE,N_points
4. Exposant Variable (5p),0.9999932410097975,0.000987022554507423,26
10. Double Exponentielle (7p),0.999992577153059,0.0010343592942454352,26
14. Super Hybride (9p),0.9998388498105603,1246.1895558389292,26
9. Hybride Corrigé (8p),0.9998089896716332,0.06197508231695765,26
13. Skyshine Enhanced (9p) 🏆,0.9998002536320434,0.07961135962225573,26
8. Skyshine (6p),0.9997990209993511,0.07791855877649476,26
2. Build-up Exposant Ajustable (5p),0.9997705871188617,0.08965905196299179,26
1. Build-up Linéaire (4p),0.9995394861966695,0.17738690320093098,26
6. Berger Build-up (5p),0.9995394861966695,0.1773869032565888,26
11. Chilton Build-up (6p),0.9995394861966695,0.17738690014635866,26
12. Capo Build-up (6p),0.9995394861966695,0.17738690442847133,26
7. GP Build-up (8p),0.999539486196594,0.1773865802772308,26
5. Taylor Build-up (5p),0.9995394861965837,0.1773875032243669,26
3. Polynomial 2D (6p),0.9952786402911128,0.40021215430750234,26
